status,category,topic,style,favorite,channel_url,channel_id
active,Comedy and the Like,comedy,talking head,,http://www.youtube.com/@TheAlexErnstShow,UCWk68Uw6V990fjnTbcOHeoA
active,Comedy and the Like,comedy,musical,,http://www.youtube.com/@billwurtz,UCq6aw03lNILzV96UvEAASfQ
active,Comedy and the Like,comedy,musical,,http://www.youtube.com/@RyansShorts,UC6yeqgmyqhDyMPzE4wwxQig
active,Comedy and the Like,comedy,musical,,http://www.youtube.com/@briandavidgilbert,UCakAg8hC_RFJm4RI3DlD7SA
active,Comedy and the Like,comedy,musical,,http://www.youtube.com/@Lord_Vinheteiro,UCSE6yilNScIz1SLTNQvrXMw
active,Comedy and the Like,making things,chaotic,,http://www.youtube.com/@Mattiaskrantz,UCEgm-3RvRn4nCR-fGGVsfdQ
active,Comedy and the Like,comedy,musical,,http://www.youtube.com/@SethEverman,UCoNRSwYHJdy-yV1b82ZdHfQ
active,Comedy and the Like,comedy,,,https://www.youtube.com/@SaturdayNightLive,UCqFzWxSCi39LnW1JKFR3efg
active,Animals and Biology,animals and biology,talking head,,http://www.youtube.com/@BenGThomas,UCDSzwZqgtJEnUzacq3ddoOQ
active,Animals and Biology,animals and biology,talking head,,http://www.youtube.com/@TREYtheExplainer,UCOuWeOkMrq84u5LY6apWQ8Q
active,Animals and Biology,animals and biology,,,http://www.youtube.com/@eons,UCzR-rom72PHN9Zg7RML9EbA
active,Animals and Biology,animals and biology,,,http://www.youtube.com/@TierZoo,UCHsRtomD4twRf5WVHHk-cMw
active,Animals and Biology,animals and biology,talking head,,http://www.youtube.com/@SallyLePage,UC9AUeAvdEVJfyS9rd9pvp8g
active,Animals and Biology,animals and biology,,,http://www.youtube.com/@zefrank,UCVpankR4HtoAVtYnFDUieYA
active,Animals and Biology,animals and biology,,,http://www.youtube.com/@KQEDDeepLook,UC-3SbfTPJsL8fJAPKiVqBLg
active,Animals and Biology,animals and biology,,,http://www.youtube.com/@EVNautilus,UC1KOOWHthbQVXH2kZue3_xA
active,Animals and Biology,animals and biology,talking head,,http://www.youtube.com/@BizarreBeasts,UC9Lp_AA5M2cMGrlvnnIns-g
active,Animals and Biology,animals and biology,walkabout,,http://www.youtube.com/@cmkosemen,UCMy7mRjghOxB8h3nv60SU4w
active,Animals and Biology,animals and biology,,,http://www.youtube.com/@HistoryoftheEarth,UC_aOteuWIY8ITg7DQQspG1g
active,Animals and Biology,animals and biology,talking head,,http://www.youtube.com/@ClintsReptiles,UCH18915fTE6yZzKrqdea8RQ
active,Animals and Biology,animals and biology,talking head,,http://www.youtube.com/@AronRa,UCAJfDidJyukTekgSRZrjadw
active,Animals and Biology,animals and biology,,,http://www.youtube.com/@journeytomicro,UCBbnbBWJtwsf0jLGUwX5Q3g
active,Animals and Biology,animals and biology,,,http://www.youtube.com/@Phrenotopia,UCO-8Osf4S3N0m7u1NivTfeg
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@octolabtv1168,UCNo_xQ7NvTr31naPAcjQWjg
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@KOTARO_OTTER,UCDYyCQAk60CqabvkL5gU3Mw
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@NinjaFrog777,UCrJH2Wy7PmCiitXKJ21yh4w
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@cruiser1228,UCWIxPuO_0emPbma8UlOc3JQ
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@cherylb4420,UCpjhDz9Sqn-6h1ZwtvUiA2g
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@Mr.Frog.,UCWUH_hdDfzi98i3clGbh_Ww
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@HomuraHam,UCKwcMBhbzQXgSM1T3TvHmiA
active,Animals and Biology,animals and biology,chaotic,,http://www.youtube.com/@TheUrbanRescueRanch,UCv3mh2P-q3UCtR9-2q8B-ZA
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@LOUTRE,UCz6yuUg6N0iRiFhCLmXrNJQ
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@Bradybrandwood,UCj2Eeg01Mn5WmcXxt695fUg
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@FOBBVCAM,UCsFgbVuhRrPV5FqyN7kOD8g
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@wrinkletheduck,UCPPjuJTt9jiOZNHScvEmvRg
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@ApolloandFrens,UCnUdaxbBMPQ9o9KVz7Oa6eQ
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@davidmbird,UC6q7I1DD2Jv5Ur9UEIavIrA
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@LesleytheBirdNerd,UCDjdXwT-KrFPsqOSg4KL8Nw
active,Animals and Biology,animals and biology,slice of life,,http://www.youtube.com/@MyBackyardBirding,UCcNyzOCKvyMBaA4iQVgO9EQ
active,Animals and Biology,animals and biology,slice of life,,https://www.youtube.com/@OctopusLady,UC8_YhCUr_HRsLAtSddGeFcw
active,Making Things (Chaotic),making things,chaotic,favorite,https://www.youtube.com/@williamosman,UCfMJ2MchTSW2kWaT0kK94Yw
active,Making Things (Chaotic),making things,chaotic,favorite,http://www.youtube.com/@MichaelReeves,UCtHaxi4GTYDpJgMSGy7AeSw
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@styropyro,UCJYJgj7rzsn0vdR7fkgjuIA
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@WilliamOsman2,UCbguawtJlHjxXzdAskubQVg
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@allenpan,UCVS89U86PwqzNkK2qYNbk5A
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@Ididathing,UCJLZe_NoiG0hT7QCX_9vmqw
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@ElectroBOOM,UCJ0-OtVpF0wOKEqT2Z1HEtA
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@Glarses,UCFtOX-21N1earf-K58C7HjQ
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@ExtractionsAndIre,UCvFApMFo_AafXbHRyEJefjA
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@ExplosionsAndFire,UCVovvq34gd0ps5cVYNZrc7A
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@NileRed2,UCA0mlN90EHCizvo101nbr-g
active,Making Things (Chaotic),making things,chaotic,,http://www.youtube.com/@NileBlue,UC1D3yD4wlPMico0dss264XA
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@StuffMadeHere,UCj1VqrHhDte54oLgPG4xpuQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@NileRed,UCFhXFikryT4aFcLkLw2LBLA
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@thethoughtemporium,UCV5vCi3jPJdURZwAOO_FNfQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@tom7,UC3azLjQuz9s5qk76KEXaTvA
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@tomwildenhain,UCgO8vdeWcywARd99Od-H_8A
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@kiwami-japan,UCg3qsVzHeUt5_cPpcRtoaJQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@LabCoatz_Science,UCcT_WBynr2K8nANsVrR8BYw
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@Nighthawkinlight,UCFtc3XdXgLFwhlDajMGK69w
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@AppliedScience,UCivA7_KLKWo43tFcCkFvydw
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@PyrotechnicalScience,UC1_kuFbEBdHtf7_c2wIdNVg
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@EmilyTheEngineer,UC_4YBM08hcpJqLl3vvgTqXg
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@IanHubert2,UCbmxZRQk-X0p-TOxd6PEYJA
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@SebastianLague,UCmtyQOKKmrMVaKuRXz02jbQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@KazeN64,UCuvSqzfO_LV_QzHdmEj84SQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@KazeClips,UCiIHJurLcZu5wzUBtTNqtvw
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@Junferno,UCRb6Mw3fJ6OFzp-cB9X29aA
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@ZenoRogue,UCfCtbgiDxwFtlqrbEralvTw
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@CodeParade,UCrv269YwJzuZL3dH5PCgxUw
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@InkboxSoftware,UCBciYThS5hOiuQ4aOxw4hHg
hidden,Making Things of Various Sorts,making things,,,http://www.youtube.com/@TodePond,UCaXh9z3or5QbM0HPGen2Quw
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@Jam2go,UClSfrg5hVNhIlwv7hEmVD2g
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@carykh,UC9z7EZAbkphEMg0SP7rw44A
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@JohnNelsonMaps,UCpdwmy5JTFNUkKknxHH9Dsg
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@Acerola_t,UCQG40havu4kNpB4pxUDQhYQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@marcevanstein,UC0AJ676UuHdQ0zshDEkyfTA
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@GoodInventions,UCoQBtJ24OUqB4O285xp9ZrQ
active,Making Things of Various Sorts,making things,chaotic,,http://www.youtube.com/@UnnecessaryInventions,UCB4NFn-8oipHct0IfAQBQrQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@pocket83,UCoCEoPxruw9HW58O-l3ttDQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@hedronrockworks,UCXgpaZxObvROehgpRAmg0SQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@theCodyReeder,UCu6mSoMNzHQiBIOCkHUa2Aw
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@htme,UCfIqCzQJXvYj9ssCoHq327g
active,Making Things of Various Sorts,making things,show and tell,,http://www.youtube.com/@barnabydixon,UCxseO_JzIiiJENauW2RmcJQ
active,Making Things of Various Sorts,making things,musical,,https://www.youtube.com/@Wintergatan,UCcXhhVwCT6_WqjkEniejRJQ
active,Making Things of Various Sorts,making things,,,http://www.youtube.com/@peter_knetter,UCNMyoMaXJZITZaRKCz7G23Q
active,Making Things of Various Sorts,making things,talking head,,http://www.youtube.com/@simonegiertz,UC3KEoMzNz8eYnwBC34RaKCQ
active,Making Things of Various Sorts,making things,,,https://www.youtube.com/@Slingshotchannel,UCVZlxkKqlvVqzRJXhAGq42Q
active,Making Things of Various Sorts,making things,,,https://www.youtube.com/@Iliketomakestuff,UC6x7GwJxuoABSosgVXDYtTw
active,Boardgames,toys and games,review,,https://www.youtube.com/@actualol,UCO-hn9MJOu7pOUdGSabKGvA
active,Boardgames,toys and games,review,,https://www.youtube.com/@ShutUpandSitDown,UCyRhIGDUKdIOw07Pd8pHxCw
active,Boardgames,toys and games,review,,https://www.youtube.com/@TheDiceTower,UCiwBbXQlljGjKtKhcdMliRA
active,Boardgames,toys and games,review,,https://www.youtube.com/@TolarianCommunityCollege,UC7-hR5EfgpM6oHfiGDkxfMA
active,Boardgames,toys and games,chaotic,,https://www.youtube.com/@kamsandwich,UC2buJRIGgvkpMpaaCyaIqGA
active,Boardgames,toys and games,review,,https://www.youtube.com/@marcoomnigamer,UCqjObEZh6BQw2xpgMjPZ7qg
active,Boardgames,toys and games,review,,https://www.youtube.com/@Wedelvedeeply,UCQIfzjNGMhdzbHzJQ2jh-lQ
active,Boardgames,toys and games,review,,http://www.youtube.com/@jackredathewarp,UCmJ6GCpVC6v_cXXIBatFlsw
active,Boardgames,toys and games,review,,http://www.youtube.com/@Shelfside,UCtT0CIZIXLMlPdQVwmI6RjA
active,Boardgames,toys and games,review,,http://www.youtube.com/@QuestingBeast,UCvYwePdbWSEwUa-Pk02u3Zw
active,Fictional Content,original animation,,,http://www.youtube.com/@WorldbuildingNotes,UCncTjqw75krp9j_wRRh5Gvw
active,Fictional Content,original animation,,favorite,http://www.youtube.com/@Worthikids,UCxXu9tCU63mF1ntk89XPkzA
active,Fictional Content,original animation,,,http://www.youtube.com/@homestarrunnerdotcom,UCMkbjxvwur30YrFWw8kpSaw
active,Fictional Content,original animation,,,http://www.youtube.com/@monlenz,UCZdrTo_md37z3iogKYrVgCw
active,Fictional Content,original animation,,,https://www.youtube.com/@TalesofAlethrion,UCwuALck_lp7LxzQcoskRjbQ
